title,description,pubdate
Ukraine war: Mariupol ultimatum passes as hundreds shelter in steel mill,"As a Russian ultimatum for Mariupol's surrender passes, Kyiv hopes to evacuate thousands still trapped.","Wed, 20 Apr 2022 12:45:11 GMT"
Russian oligarch lambasts country's 'massacre',Businessman Oleg Tinkov is one of the most high profile Russians to publicly condemn the war.,"Wed, 20 Apr 2022 12:44:50 GMT"
Boris Johnson ignores Labour call to apologise to Archbishop,Sir Keir Starmer demands an apology over comments Boris Johnson made to a private meeting of Tory MPs.,"Wed, 20 Apr 2022 13:45:40 GMT"
Child Q: Strip-search schoolgirl head teacher steps down,The school's governing body says teachers were not aware a strip-search was taking place.,"Wed, 20 Apr 2022 14:02:03 GMT"
Netflix hints at password sharing crackdown as subscribers fall,"The firm needs to sign up new subscribers after losing 200,000 in the first quarter of the year.","Wed, 20 Apr 2022 13:41:32 GMT"
Wimbledon 2022: Russian & Belarusian players banned from tournament,Russian and Belarusian players will not be allowed to compete at Wimbledon this year because of the invasion of Ukraine.,"Wed, 20 Apr 2022 13:08:09 GMT"
Prince Harry says Diana remains a constant presence,"Prince Harry talks about the ""chaos"" of fatherhood and the influence of his mother Diana.","Wed, 20 Apr 2022 13:56:10 GMT"
Tom Parker: Fans say emotional farewell at The Wanted singer's funeral,"Hundreds gather outside the funeral of The Wanted singer, who died last month at the age of 33.","Wed, 20 Apr 2022 14:15:15 GMT"
Grenfell Tower: Man admits posting grossly offensive model video,The clip of a model Grenfell Tower burning on a bonfire was made at a party a year after the disaster.,"Wed, 20 Apr 2022 12:13:22 GMT"
Betsi Cadwaladr: Carer arrested over patient WhatsApp video claims,North Wales Police arrested a member of staff from Wrexham Maelor Hospital following allegations.,"Wed, 20 Apr 2022 10:00:48 GMT"
Father calls for overhaul of 'flawed' suicide assessments,"His son Tom died a day after being judged ""low risk"", in a final counselling session, Philip Pirie says.","Wed, 20 Apr 2022 12:05:56 GMT"
Ezra Miller: US actor arrested over assault in Hawaii,"The actor reportedly threw a chair at a woman, leaving her with a cut to her head, on Tuesday.","Wed, 20 Apr 2022 10:00:52 GMT"
Ex-EastEnders actress Katie Jarvis shouted 'black lives don't matter',"Katie Jarvis, 30, is given a two-year community order with 200 hours of unpaid work by a judge.","Wed, 20 Apr 2022 13:01:59 GMT"
In maps: Ukraine repels Russian advances in east,Russian troops have launched a new offensive in the Donbas region in east Ukraine.,"Wed, 20 Apr 2022 08:36:48 GMT"
Donbas: Why Russia is trying to encircle Ukraine's east,"Russia has shifted most of the focus of its war to eastern Ukraine, aiming to ""liberate"" the region.","Tue, 19 Apr 2022 09:19:42 GMT"
Ukraine war: Mariupol fighters' relatives tell of bitter pride,Relatives speak of their pride and fears for the last Ukrainian soldiers defending Mariupol.,"Wed, 20 Apr 2022 04:59:24 GMT"
"Ukraine children: Killed as he escaped, Elisei is one of 200 child victims","As fighting rages across Ukraine, Russia's invasion has shattered the lives of millions of children.","Tue, 19 Apr 2022 05:03:43 GMT"
Ukraine war: Donbas tourist town braces for Russian assault,Sviatohirsk was a tourist trail staple but is now just another place in the Donbas where people flee war.,"Mon, 18 Apr 2022 17:15:26 GMT"
Ukraine: Online posts 'transform' war crimes documentation,"Open-source evidence is increasingly used by the UN and war crimes investigators, says law professor.","Sun, 17 Apr 2022 06:18:49 GMT"
Ukraine war: No quick return to normal for scarred Bucha,"Everything has changed in this town since the Russians came, and horrific memories will not easily be erased.","Sat, 16 Apr 2022 05:00:11 GMT"
Older residents of the east reluctant to hit the road,"While young Ukrainians have moved to safety, many older residents say they have no choice but to stay.","Sun, 17 Apr 2022 17:29:53 GMT"
